Hotel malvan swad,Hotel malvan swad,Manchar,07410797629,2/3/2026,Vedant,Website,Waiting for Client
Hotel Yash family Restaurant & Bar,Hotel Yash family Restaurant & Bar,Manchar,09766535852,2/4/2026,Vedant,Website,Waiting for Client
Aswad Restaurant Pure Veg,Aswad Restaurant Pure Veg,Manchar,09975579425,2/5/2026,Vedant,Website,Waiting for Client
Samadhan Restaurant,Samadhan Restaurant,Manchar,07517666264,2/6/2026,Vedant,Website,Waiting for Client
Shree Laxmi Pure Veg Restaurant,Shree Laxmi Pure Veg Restaurant,Manchar,07809780962,2/7/2026,Vedant,Website,Waiting for Client
Khavyye Katta Family AC Cafe,Khavyye Katta Family AC Cafe,Manchar,09730101910,2/8/2026,Vedant,Website,Waiting for Client
Dolphin Hotel,Dolphin Hotel,Manchar,09890689181,2/9/2026,Vedant,Website,Waiting for Client
